"","FacilityID","DeptID","Department.Name","Record.Status","Abbreviation","Synonyms","Center","External.Name","Inpatient.Dept","Specialty","Confidential.","Addr","Suite","City","State","Zip.Code","Zip.Add.On","County","Country","MPI.ID.Type","MPI.ID","Appt.Phone","ADT.Parent","Patient.Class","ADT.Unit.Type","EpicCare.Department","Logo.Filename","fullAddress","lon","lat"
"1",10103,"132","ACST GYN ONC CLINIC","","ACST GYN ONC","GYN ONC
MSTI GYN ONC
ANDERSON CENTER
ACST","ACST","MSTI GYN Oncology - Boise","","Gynecologic Oncology","","100 E. IDAHO ST.",NA,"BOISE","IDAHO","83712","6267","ADA","United States of America","110","10103132","",10103,"Clinic Outpatient
Specimen","","Yes","","100 E. IDAHO ST., BOISE, IDAHO, 83712",-116.1935105,43.6120865
"2",10103,"171","ACST SL CHILDRENS CARE COORDINATORS","","ACST CCOOR","CSC CARE COORDINATORS
CARE COORDINATORS
CHILDRENS","ACST CSC","St. Luke's Children's Care Coordinator","","Pediatrics","","100 E IDAHO ST. "," 200","BOISE","IDAHO","83712","6270","","","110","10103171","",10103,"Clinic Outpatient
Specimen","","Yes","","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"3",10103,"161","ACST SL CHILDRENS DIETITIAN CLINIC","","ACST DIET","DIETITIAN PEDS
CSC
CSC DIETICIAN
PEDS
PEDSDIET
CHILD","ACST CSC","St. Luke's Children's - Dietitian - Boise","","Pediatric Dietitian","","100 E IDAHO ST. "," 200","BOISE","IDAHO","83712","6270","ADA","United States of America","110","10103161","",10103,"Clinic Outpatient
Specimen","","Yes","SLHS_Childrens_4c_Med.JPG","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"4",10103,"183","ACST SL CHILDRENS EATING DISORDER CLINIC","","ACST EAT DIS","ACST EAT DIS","ACST","St. Luke's Children's - Eating Disorder - Boise","","Pediatric Eating Disorder","","100 E IDAHO ST. "," 200","BOISE","IDAHO","83712","6270","ADA","United States of America","110","10103183","",10103,"Clinic Outpatient
Specimen","","Yes","","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"5",10103,"102","ACST SL CHILDRENS GASTROENTEROLOGY","","ACST PED GAS","PEDS GASTRO
PEDIATRIC GASTRO
ANDERSON CENTER
PEDS
GAS
PEDSGASTRO
PEDGASTRO
GASTRO PEDS
PEDS GAS","ACST CSC","St. Luke's Clinic- Childrens Gastroenterology - Boise","","Pediatric Gastroenterology","","100 E IDAHO ST. "," 316","BOISE","IDAHO","83712","6269","","United States of America","110","10103102","",10103,"Clinic Outpatient","","Yes","SLHS_Childrens_4c_Med.JPG","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"6",10103,"107","ACST SL CHILDRENS GENETICS","","ACST PED GEN","PEDS GENETICS
GENETICS PEDS
ANDERSON CENTER","ACST CSC","St. Luke's Clinic Childrens Genetics - Boise","","Pediatric Genetics","","100 E IDAHO ST. "," 200","BOISE","IDAHO","83712","6270","ADA","United States of America","110","10103107","",10103,"Clinic Outpatient
Specimen","","Yes","SLHS_Childrens_4c_Med.JPG","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"7",10103,"160","ACST SL CHILDRENS GI - INTESTINAL REHABILITATION","","ACST CIR","ACST
CHILD
INTEST
PEDSINT
PEDS
REHAH
IRC PEDS
PEDSURO
PEDSGASTRO
PEDS GAS
PEDIATRIC GASTRO","ACST CSC","St. Luke's Childrens- Intestinal Rehabilitation - Boise","","Pediatric Intestinal Rehab","","100 E IDAHO ST. ","100","BOISE","IDAHO","83712",NA,"","United States of America","110","10103160","",NA,"Clinic Outpatient","","Yes","SLHS_Childrens_4c_Med.JPG","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"8",10103,"108","ACST SL CHILDRENS INFECTIONS AND IMMUNE DEFICIENCY","","ACST IIDC","ANDERSON CENTER
PEDS INFECTIOUS
INFECTIOUS DISEASE PEDS
PEDS
CSC
INFECT PEDS
CHILD
DISEASE
ID
PEDSINFE
CSCINF
PEDIATRIC INFECTIONS AND IMMUNE DISEASE
CHILDRENS IMMUNOLOGY","ACST CSC","St. Luke's Children's -Infections and Immune Deficiency","","Pediatric Infectious Disease","","100 E IDAHO ST. "," 200","BOISE","IDAHO","83712","6270","","United States of America","110","10103108","",10103,"Clinic Outpatient
Specimen","","Yes","SLHS_Childrens_4c_Med.JPG","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"9",10103,"165","ACST SL CHILDRENS MENTAL HEALTH","","ACST CMH","","ACST","St. Lukes Childrens Neurobehavioral Medicine-Boise","","Pediatric Mental Health","","100 E IDAHO "," 200","BOISE","IDAHO","83712",NA,"ADA","United States of America","110","10103165","",10103,"Clinic Outpatient
Specimen","","Yes","","100 E IDAHO , BOISE, IDAHO, 83712",-116.1935105,43.6120865
"10",10103,"109","ACST SL CHILDRENS METABOLIC","","ACST PED MET","PEDS METABOLIC
METABOLIC PEDS
ANDERSON CENTER
PED MET
PEDIATRIC METABOLIC","ACST CSC","St. Luke's Clinic Childrens Metabolic - Boise","","Pediatric Metabolics","","100 E IDAHO ST. "," 200","BOISE","IDAHO","83712","6270","ADA","United States of America","110","10103109","",10103,"Clinic Outpatient
Specimen","","Yes","SLHS_Childrens_4c_Med.JPG","100 E IDAHO ST. , BOISE, IDAHO, 83712",-116.1935105,43.6120865
